Age,Gender,Height,Weight,Physical Activity per day (hrs),Hours of Sleep per day,Bmi,BmiClass
44,Male,172,154,0,4,52.06,Obese Class 3
27,Female,183,136.2,4,9,40.67,Obese Class 3
37,Male,178,152.3,5,9,48.07,Obese Class 3
47,Female,167,168.9,4,3,60.56,Obese Class 3
29,Male,179,132.1,4,7,41.23,Obese Class 3
39,Female,177,146.3,2,3,46.7,Obese Class 3
49,Male,165,162.5,2,8,59.69,Obese Class 3
26,Female,182,132,2,7,39.85,Obese Class 2
36,Male,176,144,5,10,46.49,Obese Class 3
46,Female,171,158.7,1,9,54.27,Obese Class 3
31,Male,178,127.8,1,10,40.34,Obese Class 3
41,Female,175,151,3,10,49.31,Obese Class 3
17,Male,165,60.5,3,9,22.22,Normal Weight
25,Female,175,70.2,5,7,22.92,Normal Weight
32,Male,180,76.8,4,8,23.7,Normal Weight
22,Female,168,63.5,3,7,22.5,Normal Weight
39,Male,170,72.9,2,10,25.22,Overweight
48,Female,162,68.7,4,9,26.18,Overweight
19,Male,170,67.3,2,7,23.29,Normal Weight
28,Female,178,74.6,1,7,23.55,Normal Weight
35,Male,175,71.8,2,3,23.44,Normal Weight
44,Female,169,70.3,2,10,24.61,Normal Weight
20,Male,172,66,4,3,22.31,Normal Weight
29,Female,179,75.3,5,3,23.5,Normal Weight
37,Male,172,69.5,4,9,23.49,Normal Weight
47,Female,166,68,5,6,24.68,Normal Weight
21,Male,169,65.7,5,8,23,Normal Weight
31,Female,176,72,5,7,23.24,Normal Weight
38,Male,171,70.2,1,4,24.01,Normal Weight
49,Female,164,67.3,0,8,25.02,Overweight
24,Male,173,68.5,3,6,22.89,Normal Weight
33,Female,181,78.4,1,10,23.93,Normal Weight
41,Male,167,68.9,0,10,24.71,Normal Weight
50,Female,163,67,0,5,25.22,Overweight
23,Male,171,67,2,6,22.91,Normal Weight
30,Female,177,73.5,5,5,23.46,Normal Weight
36,Male,174,70.8,4,3,23.38,Normal Weight
46,Female,168,69.2,0,6,24.52,Normal Weight
18,Male,166,62.3,2,10,22.61,Normal Weight
27,Female,174,71.5,4,3,23.62,Normal Weight
34,Male,178,73.2,3,4,23.1,Normal Weight
42,Female,165,66.2,5,9,24.32,Normal Weight
16,Male,160,55,4,7,21.48,Normal Weight
26,Female,172,68.5,5,3,23.15,Normal Weight
37,Male,176,73.2,5,7,23.63,Normal Weight
47,Female,166,63.7,3,3,23.12,Normal Weight
18,Male,168,62.8,3,7,22.25,Normal Weight
29,Female,179,71.4,3,4,22.28,Normal Weight
40,Male,173,70,4,3,23.39,Normal Weight
49,Female,165,63.3,2,10,23.25,Normal Weight
19,Male,166,59.5,2,10,21.59,Normal Weight
30,Female,176,68,2,5,21.95,Normal Weight
42,Male,169,67.2,4,5,23.53,Normal Weight
50,Female,164,62.7,0,8,23.31,Normal Weight
21,Male,172,65.7,2,9,22.21,Normal Weight
32,Female,178,70.5,0,7,22.25,Normal Weight
44,Male,170,66.9,2,8,23.15,Normal Weight
22,Female,169,64.3,3,4,22.51,Normal Weight
34,Male,175,69.8,2,10,22.79,Normal Weight
46,Female,168,63.8,1,6,22.6,Normal Weight
23,Male,170,63.5,3,6,21.97,Normal Weight
35,Female,177,70.3,1,10,22.44,Normal Weight
48,Male,165,63.1,4,6,23.18,Normal Weight
25,Female,171,66.7,5,9,22.81,Normal Weight
36,Male,175,70.1,5,6,22.89,Normal Weight
45,Female,167,63.5,3,6,22.77,Normal Weight
27,Male,174,68.2,5,4,22.53,Normal Weight
38,Female,178,71,0,8,22.41,Normal Weight
16,Male,162,50,1,6,19.05,Normal Weight
26,Female,167,55.5,4,8,19.9,Normal Weight
36,Male,170,57.8,3,8,20,Normal Weight
46,Female,173,60.2,3,8,20.11,Normal Weight
17,Male,163,51.2,4,7,19.27,Normal Weight
27,Female,168,56,2,4,19.84,Normal Weight
37,Male,171,58.1,1,5,19.87,Normal Weight
47,Female,174,61,2,9,20.15,Normal Weight
18,Male,164,52.5,1,9,19.52,Normal Weight
28,Female,169,56.7,1,4,19.85,Normal Weight
38,Male,172,59,4,3,19.94,Normal Weight
48,Female,175,62.3,3,8,20.34,Normal Weight
19,Male,165,53.8,2,5,19.76,Normal Weight
29,Female,170,57.3,0,9,19.83,Normal Weight
39,Male,173,59.9,2,5,20.01,Normal Weight
49,Female,176,63.6,0,10,20.53,Normal Weight
20,Male,166,55,3,10,19.96,Normal Weight
30,Female,171,58.5,1,7,20.01,Normal Weight
40,Male,174,60.7,3,6,20.05,Normal Weight
50,Female,177,64.9,5,10,20.72,Normal Weight
21,Male,167,56.2,0,5,20.15,Normal Weight
31,Female,172,59,0,4,19.94,Normal Weight
41,Male,175,61.5,2,9,20.08,Normal Weight
22,Female,168,57.5,4,10,20.37,Normal Weight
32,Male,173,60.8,3,7,20.31,Normal Weight
42,Female,176,62.2,3,3,20.08,Normal Weight
23,Male,169,58.7,4,10,20.55,Normal Weight
33,Female,174,61.2,3,6,20.21,Normal Weight
43,Male,177,63.4,5,9,20.24,Normal Weight
24,Female,170,60,2,8,20.76,Normal Weight
34,Male,175,61.8,0,5,20.18,Normal Weight
44,Female,178,64.8,5,10,20.45,Normal Weight
25,Male,171,61.2,2,9,20.93,Normal Weight
35,Female,176,62.4,4,6,20.14,Normal Weight
45,Male,179,65.7,2,10,20.5,Normal Weight
16,Female,165,65.5,0,6,24.06,Normal Weight
26,Male,170,75.6,4,5,26.16,Overweight
36,Female,175,85.8,5,4,28.02,Overweight
46,Male,180,95.9,5,10,29.6,Overweight
17,Female,167,68,1,6,24.38,Normal Weight
27,Male,172,78.2,5,3,26.43,Overweight
37,Female,177,88.3,4,9,28.18,Overweight
47,Male,182,98.4,2,9,29.71,Overweight
18,Female,169,70.5,4,5,24.68,Normal Weight
28,Male,174,80.8,2,5,26.69,Overweight
38,Female,179,90.9,5,3,28.37,Overweight
48,Male,184,101,5,9,29.83,Overweight
19,Female,170,73,3,3,25.26,Overweight
29,Male,176,83.3,0,6,26.89,Overweight
39,Female,181,93.5,1,9,28.54,Overweight
49,Male,186,104.6,3,7,30.23,Obese Class 1
20,Female,172,75.6,3,3,25.55,Overweight
30,Male,178,85.7,2,4,27.05,Overweight
40,Female,183,96.1,2,5,28.7,Overweight
50,Male,188,107.2,4,7,30.33,Obese Class 1
21,Female,174,78.1,2,9,25.8,Overweight
31,Male,180,88.2,2,6,27.22,Overweight
41,Female,185,98.7,3,9,28.84,Overweight
22,Male,176,80.7,0,3,26.05,Overweight
32,Female,182,90.6,0,4,27.35,Overweight
42,Male,187,101.3,0,4,28.97,Overweight
23,Female,178,83.3,3,5,26.29,Overweight
33,Male,184,93.1,1,3,27.5,Overweight
43,Female,189,104,4,10,29.11,Overweight
24,Male,180,85.8,2,10,26.48,Overweight
34,Female,186,95.7,1,5,27.66,Overweight
44,Male,191,106.9,1,5,29.3,Overweight
25,Female,182,88.4,1,9,26.69,Overweight
35,Male,188,98.5,4,7,27.87,Overweight
45,Female,193,109.9,2,7,29.5,Overweight
